general rules,,
0: preprocess: remove ignore patterns,,

how to process,title,url
,"Panasonic VIERA 58"" 1080p Plasma HDTV for $1,197 + free shipping",http://dealnews.com/Panasonic-VIERA-58-1080-p-Plasma-HDTV-for-1-197-free-shipping/396731.html?iref=rss_dealnews_today
,5-Piece TV Tray Set for $24 + $23 s&h,http://dealnews.com/5-Piece-TV-Tray-Set-for-24-23-s-h/396739.html?iref=rss_dealnews_today
,Suunto 950 Solar Power Battery Charger for $30 + $5 s&h,http://dealnews.com/Suunto-950-Solar-Power-Battery-Charger-for-30-5-s-h/396707.html?iref=rss_dealnews_today
,Yamaha 500W 5.1-Channel Home Theater System for $300 + free shipping,http://dealnews.com/Yamaha-500-W-5.1-Channel-Home-Theater-System-for-300-free-shipping/396732.html?iref=rss_dealnews_today
,40% off Fisher-Price toys at Kohl's + extra 20% off: Deals from $4 + $1 s&h,http://dealnews.com/40-off-Fisher-Price-toys-at-Kohls-extra-20-off-Deals-from-4-1-s-h/396754.html?iref=rss_dealnews_today
,Optoma 720p Home Theater HD DLP Projector for $409 + free shipping,http://dealnews.com/Optoma-720-p-Home-Theater-HD-DLP-Projector-for-409-free-shipping/396726.html?iref=rss_dealnews_today
,Acase Aegis Power External Battery Case for Apple iPhone 4 for $43 + $5 s&h,http://dealnews.com/Acase-Aegis-Power-External-Battery-Case-for-Apple-i-Phone-4-for-43-5-s-h/396761.html?iref=rss_dealnews_today
,LeapFrog Tag Junior Book Pal for $10 + free shipping,http://dealnews.com/Leap-Frog-Tag-Junior-Book-Pal-for-10-free-shipping/396763.html?iref=rss_dealnews_today
,"Kohl's sale: Women's panties from $1 + $1 s&h, bras from $4",http://dealnews.com/Kohls-sale-Womens-panties-from-1-1-s-h-bras-from-4/396759.html?iref=rss_dealnews_today
,Targus Compact Camera Case for $3 + free shipping,http://dealnews.com/Targus-Compact-Camera-Case-for-3-free-shipping/396766.html?iref=rss_dealnews_today
,Young Micro Silicone Case for HTC EVO 4G for $3 + free shipping ,http://dealnews.com/Young-Micro-Silicone-Case-for-HTC-EVO-4-G-for-3-free-shipping-/396762.html?iref=rss_dealnews_today
,Coleman 6-Piece Family Camping Cookset for $13 + free shipping,http://dealnews.com/Coleman-6-Piece-Family-Camping-Cookset-for-13-free-shipping/396742.html?iref=rss_dealnews_today
,"Refurb Western Digital WD TV Live HD Media Player for $55 + $3 s&h, more",http://dealnews.com/Refurb-Western-Digital-WD-TV-Live-HD-Media-Player-for-55-3-s-h-more/396769.html?iref=rss_dealnews_today
,Craftsman C3 19.2V Cordless 2-Piece Combo Kit for $95 + $11 s&h ,http://dealnews.com/Craftsman-C3-19.2-V-Cordless-2-Piece-Combo-Kit-for-95-11-s-h-/396770.html?iref=rss_dealnews_today
,DeLonghi EC155 Espresso Maker for $76 + free shipping,http://dealnews.com/De-Longhi-EC155-Espresso-Maker-for-76-free-shipping/396755.html?iref=rss_dealnews_today
,Westinghouse Outlet Valet for $10 + free shipping,http://dealnews.com/Westinghouse-Outlet-Valet-for-10-free-shipping/396757.html?iref=rss_dealnews_today
,Sprinkler Head Key Hider for $5 + free shipping,http://dealnews.com/Sprinkler-Head-Key-Hider-for-5-free-shipping/396772.html?iref=rss_dealnews_today
, Remote-Controlled Power Outlet 2-Pack for $10 + $5 s&h,http://dealnews.com/-Remote-Controlled-Power-Outlet-2-Pack-for-10-5-s-h/396744.html?iref=rss_dealnews_today
,booq iPad & Laptop Case Roundup: Deals from $30 + $5 s&h,http://dealnews.com/booq-i-Pad-Laptop-Case-Roundup-Deals-from-30-5-s-h/396771.html?iref=rss_dealnews_today
,I-Rocks microSD USB Card Reader for 79 cents + free shipping,http://dealnews.com/I-Rocks-micro-SD-USB-Card-Reader-for-79-cents-free-shipping/396780.html?iref=rss_dealnews_today
,LCD Alarm Clock for $4 + free shipping,http://dealnews.com/LCD-Alarm-Clock-for-4-free-shipping/396777.html?iref=rss_dealnews_today
